Car1 gas level: 6

Car1 is filling up

Car1 gas level: 15

Car1 is off

-----------
Mileage: 	1001, Fuel (Gal Left): 15
Mileage: 	1002, Fuel (Gal Left): 15
Mileage: 	1003, Fuel (Gal Left): 15
Mileage: 	1004, Fuel (Gal Left): 15
Mileage: 	1005, Fuel (Gal Left): 15
Mileage: 	1006, Fuel (Gal Left): 15
Mileage: 	1007, Fuel (Gal Left): 15
Mileage: 	1008, Fuel (Gal Left): 15
Mileage: 	1009, Fuel (Gal Left): 15
Mileage: 	1010, Fuel (Gal Left): 15
Mileage: 	1011, Fuel (Gal Left): 15
Mileage: 	1012, Fuel (Gal Left): 15
Mileage: 	1013, Fuel (Gal Left): 15
Mileage: 	1014, Fuel (Gal Left): 15
Mileage: 	1015, Fuel (Gal Left): 15
Mileage: 	1016, Fuel (Gal Left): 15
Mileage: 	1017, Fuel (Gal Left): 15
Mileage: 	1018, Fuel (Gal Left): 15
Mileage: 	1019, Fuel (Gal Left): 15
Mileage: 	1020, Fuel (Gal Left): 15
Mileage: 	1021, Fuel (Gal Left): 15
Mileage: 	1022, Fuel (Gal Left): 15
Mileage: 	1023, Fuel (Gal Left): 15
Mileage: 	1024, Fuel (Gal Left): 14
Mileage: 	1025, Fuel (Gal Left): 14
Mileage: 	1026, Fuel (Gal Left): 14
Mileage: 	1027, Fuel (Gal Left): 14
Mileage: 	1028, Fuel (Gal Left): 14
Mileage: 	1029, Fuel (Gal Left): 14
Mileage: 	1030, Fuel (Gal Left): 14
Mileage: 	1031, Fuel (Gal Left): 14
Mileage: 	1032, Fuel (Gal Left): 14
Mileage: 	1033, Fuel (Gal Left): 14
Mileage: 	1034, Fuel (Gal Left): 14
Mileage: 	1035, Fuel (Gal Left): 14
Mileage: 	1036, Fuel (Gal Left): 14
Mileage: 	1037, Fuel (Gal Left): 14
Mileage: 	1038, Fuel (Gal Left): 14
Mileage: 	1039, Fuel (Gal Left): 14
Mileage: 	1040, Fuel (Gal Left): 14
Mileage: 	1041, Fuel (Gal Left): 14
Mileage: 	1042, Fuel (Gal Left): 14
Mileage: 	1043, Fuel (Gal Left): 14
Mileage: 	1044, Fuel (Gal Left): 14
Mileage: 	1045, Fuel (Gal Left): 14
Mileage: 	1046, Fuel (Gal Left): 14
Mileage: 	1047, Fuel (Gal Left): 14
Mileage: 	1048, Fuel (Gal Left): 13
Mileage: 	1049, Fuel (Gal Left): 13
Mileage: 	1050, Fuel (Gal Left): 13
Mileage: 	1051, Fuel (Gal Left): 13
Mileage: 	1052, Fuel (Gal Left): 13
Mileage: 	1053, Fuel (Gal Left): 13
Mileage: 	1054, Fuel (Gal Left): 13
Mileage: 	1055, Fuel (Gal Left): 13
Mileage: 	1056, Fuel (Gal Left): 13
Mileage: 	1057, Fuel (Gal Left): 13
Mileage: 	1058, Fuel (Gal Left): 13
Mileage: 	1059, Fuel (Gal Left): 13
Mileage: 	1060, Fuel (Gal Left): 13
Mileage: 	1061, Fuel (Gal Left): 13
Mileage: 	1062, Fuel (Gal Left): 13
Mileage: 	1063, Fuel (Gal Left): 13
Mileage: 	1064, Fuel (Gal Left): 13
Mileage: 	1065, Fuel (Gal Left): 13
Mileage: 	1066, Fuel (Gal Left): 13
Mileage: 	1067, Fuel (Gal Left): 13
Mileage: 	1068, Fuel (Gal Left): 13
Mileage: 	1069, Fuel (Gal Left): 13
Mileage: 	1070, Fuel (Gal Left): 13
Mileage: 	1071, Fuel (Gal Left): 13
Mileage: 	1072, Fuel (Gal Left): 12
Mileage: 	1073, Fuel (Gal Left): 12
Mileage: 	1074, Fuel (Gal Left): 12
Mileage: 	1075, Fuel (Gal Left): 12
Mileage: 	1076, Fuel (Gal Left): 12
Mileage: 	1077, Fuel (Gal Left): 12
Mileage: 	1078, Fuel (Gal Left): 12
Mileage: 	1079, Fuel (Gal Left): 12
Mileage: 	1080, Fuel (Gal Left): 12
Mileage: 	1081, Fuel (Gal Left): 12
Mileage: 	1082, Fuel (Gal Left): 12
Mileage: 	1083, Fuel (Gal Left): 12
Mileage: 	1084, Fuel (Gal Left): 12
Mileage: 	1085, Fuel (Gal Left): 12
Mileage: 	1086, Fuel (Gal Left): 12
Mileage: 	1087, Fuel (Gal Left): 12
Mileage: 	1088, Fuel (Gal Left): 12
Mileage: 	1089, Fuel (Gal Left): 12
Mileage: 	1090, Fuel (Gal Left): 12
Mileage: 	1091, Fuel (Gal Left): 12
Mileage: 	1092, Fuel (Gal Left): 12
Mileage: 	1093, Fuel (Gal Left): 12
Mileage: 	1094, Fuel (Gal Left): 12
Mileage: 	1095, Fuel (Gal Left): 12
Mileage: 	1096, Fuel (Gal Left): 11
Mileage: 	1097, Fuel (Gal Left): 11
Mileage: 	1098, Fuel (Gal Left): 11
Mileage: 	1099, Fuel (Gal Left): 11
Mileage: 	1100, Fuel (Gal Left): 11
Mileage: 	1101, Fuel (Gal Left): 11
Mileage: 	1102, Fuel (Gal Left): 11
Mileage: 	1103, Fuel (Gal Left): 11
Mileage: 	1104, Fuel (Gal Left): 11
Mileage: 	1105, Fuel (Gal Left): 11
Mileage: 	1106, Fuel (Gal Left): 11
Mileage: 	1107, Fuel (Gal Left): 11
Mileage: 	1108, Fuel (Gal Left): 11
Mileage: 	1109, Fuel (Gal Left): 11
Mileage: 	1110, Fuel (Gal Left): 11
Mileage: 	1111, Fuel (Gal Left): 11
Mileage: 	1112, Fuel (Gal Left): 11
Mileage: 	1113, Fuel (Gal Left): 11
Mileage: 	1114, Fuel (Gal Left): 11
Mileage: 	1115, Fuel (Gal Left): 11
Mileage: 	1116, Fuel (Gal Left): 11
Mileage: 	1117, Fuel (Gal Left): 11
Mileage: 	1118, Fuel (Gal Left): 11
Mileage: 	1119, Fuel (Gal Left): 11
Mileage: 	1120, Fuel (Gal Left): 10
Mileage: 	1121, Fuel (Gal Left): 10
Mileage: 	1122, Fuel (Gal Left): 10
Mileage: 	1123, Fuel (Gal Left): 10
Mileage: 	1124, Fuel (Gal Left): 10
Mileage: 	1125, Fuel (Gal Left): 10
Mileage: 	1126, Fuel (Gal Left): 10
Mileage: 	1127, Fuel (Gal Left): 10
Mileage: 	1128, Fuel (Gal Left): 10
Mileage: 	1129, Fuel (Gal Left): 10
Mileage: 	1130, Fuel (Gal Left): 10
Mileage: 	1131, Fuel (Gal Left): 10
